League,Season,Final,Game_IDno,T1,W1,R1,O1,M1,T2,W2,R2,O2,M2,Win,Toss,Home,PotM,RRD,DLSTrgt,DLSInfo
BBL,1,,39192,Heat,8,139,20,20,Sixers,3,140,18.4,20,2,1,2,Brad Haddin,0.093,,
BBL,1,,39193,Stars,7,153,20,20,Thunder,4,154,19,20,2,2,1,David Warner,0.071,,
BBL,1,,39194,Strikers,5,189,20,20,Renegades,10,122,17.5,20,1,2,1,Michael Klinger,0.354,,
BBL,1,,39195,Hurricanes,10,140,19.3,20,Scorchers,10,109,19.5,20,1,1,2,Ben Hilfenhaus,0.221,,
BBL,1,,39196,Stars,7,177,20,20,Heat,7,169,20,20,1,1,1,Rob Quiney,0.045,,
BBL,1,,39197,Hurricanes,3,169,20,20,Sixers,9,127,20,20,1,1,1,Travis Birt,0.249,,
BBL,1,,39198,Renegades,3,188,20,20,Scorchers,2,192,19.2,20,2,1,1,Shaun Marsh,0.057,,
BBL,1,,39199,Strikers,8,155,20,20,Thunder,4,156,18.3,20,2,1,1,Chris Gayle,0.103,,
BBL,1,,39200,Sixers,9,166,20,20,Stars,8,164,20,20,1,1,1,Dwayne Bravo,0.012,,
BBL,1,,39201,Hurricanes,4,171,20,20,Strikers,8,157,20,20,1,1,2,Xavier Doherty,0.082,,
BBL,1,,39202,Scorchers,8,162,20,20,Heat,6,152,20,20,1,1,1,Marcus North,0.062,,
BBL,1,,39203,Renegades,8,140,20,20,Thunder,7,134,20,20,1,1,2,Shahid Afridi,0.043,,
BBL,1,,39204,Thunder,8,138,20,20,Hurricanes,5,139,18.4,20,2,1,2,Rana Naved,0.094,,
BBL,1,,39205,Sixers,6,161,20,20,Renegades,2,164,17.4,20,2,1,2,Andrew McDonald,0.159,,
BBL,1,,39206,Strikers,4,166,20,20,Heat,10,135,18,20,1,1,2,Tom Cooper,0.187,,
BBL,1,,39207,Scorchers,10,136,20,20,Stars,5,128,20,20,1,1,2,Herschelle Gibbs,0.059,,
BBL,1,,39208,Heat,4,201,20,20,Hurricanes,4,198,20,20,1,1,1,Matthew Hayden,0.015,,
BBL,1,,39209,Stars,5,167,20,20,Renegades,3,58,8.1,8.1,1,1,0,David Hussey,0.159,70,2nd innings terminated
BBL,1,,39210,Sixers,7,117,16,16,Thunder,4,29,5.3,5.3,1,1,0,Mitchell Starc,0.37,47,"4 overs/side lost at 10/0 (1.4) of 1st innings, then 2nd innings terminated"
BBL,1,,39211,Scorchers,5,184,20,20,Strikers,10,142,19.3,20,1,1,1,Brad Hogg,0.228,,
BBL,1,,39212,Stars,3,203,20,20,Hurricanes,9,184,20,20,1,1,2,Luke Wright,0.094,,
BBL,1,,39213,Sixers,8,151,20,20,Strikers,10,87,18.4,20,1,1,2,Steve O'Keefe,0.424,,
BBL,1,,39214,Thunder,10,99,19.2,20,Scorchers,1,103,14.1,20,2,1,1,Nathan Coulter-Nile,0.388,,
BBL,1,,39215,Heat,7,168,20,20,Renegades,9,156,20,20,1,1,2,Daniel Vettori,0.071,,
BBL,1,,39216,Heat,4,195,20,20,Thunder,6,104,20,20,1,2,1,Daniel Christian,0.467,,
BBL,1,,39217,Renegades,4,173,20,20,Hurricanes,3,174,19.5,20,2,1,2,Owais Shah,0.017,,
BBL,1,,39218,Sixers,10,176,20,20,Scorchers,6,175,20,20,1,1,1,Mitchell Starc,0.006,,
BBL,1,,39219,Strikers,10,125,19.3,20,Stars,4,129,18.5,20,2,1,2,Clint McKay,0.109,,
BBL,1,SF,39220,Scorchers,3,174,20,20,Stars,8,163,20,20,1,1,1,Mitchell Marsh,0.063,,
BBL,1,SF,39221,Sixers,6,153,20,20,Hurricanes,7,146,20,20,1,1,2,Nic Maddinson,0.046,,
BBL,1,GF,39222,Scorchers,5,156,20,20,Sixers,3,158,18.5,20,2,1,1,Moises Henriques,0.089,,
BBL,2,,35522,Stars,5,167,20,20,Renegades,2,168,18.2,20,2,1,2,Aaron Finch,0.107,,
BBL,2,,35523,Thunder,5,143,20,20,Sixers,3,147,18.4,20,2,2,0,Brad Haddin,0.116,,
BBL,2,,35524,Heat,6,172,20,20,Hurricanes,2,175,19,20,2,1,1,Travis Birt,0.074,,
BBL,2,,35525,Scorchers,6,162,20,20,Strikers,4,164,19.2,20,2,1,1,Phillip Hughes,0.055,,
BBL,2,,35526,Scorchers,10,69,15.2,20,Stars,0,29,2,5,2,2,1,Lasith Malinga,0.345,20,2nd innings shortened to 5 overs at 29/0 (2)
BBL,2,,35527,Strikers,8,185,20,20,Heat,7,186,20,20,2,2,1,Luke Pomersbach,0.005,,
BBL,2,,35528,Thunder,7,116,20,20,Renegades,5,117,18.2,20,2,2,1,Aaron O'Brien,0.111,,
BBL,2,,35529,Hurricanes,8,134,20,20,Stars,6,135,19.1,20,2,2,2,Clint McKay,0.059,,
BBL,2,,35530,Sixers,9,113,20,20,Scorchers,3,114,19.2,20,2,2,1,Michael Beer,0.053,,
BBL,2,,35531,Heat,4,109,13.1,13.1,Scorchers,1,51,4.2,5,2,2,1,Nathan Coulter-Nile,0.157,51,"1st innings terminated, 2nd innings shortened to 5 overs at start"
BBL,2,,35532,Hurricanes,9,102,20,20,Renegades,3,103,13.2,20,2,2,2,Marlon Samuels,0.388,,
BBL,2,,35533,Strikers,6,177,20,20,Thunder,10,126,18.4,20,1,2,2,Kane Richardson,0.288,,
BBL,2,,35534,Stars,6,177,20,20,Sixers,5,156,20,20,1,2,1,Glenn Maxwell,0.119,,
BBL,2,,35535,Heat,7,133,20,20,Renegades,4,137,19.1,20,2,1,2,Ben Cutting,0.08,,
BBL,2,,35536,Hurricanes,4,177,20,20,Thunder,9,147,20,20,1,2,1,Ricky Ponting,0.169,,
BBL,2,,35537,Sixers,6,135,20,20,Strikers,1,136,15.5,20,2,1,2,Tim Ludeman,0.272,,
BBL,2,,35538,Sixers,8,154,20,20,Hurricanes,3,158,19.5,20,2,2,1,Ricky Ponting,0.038,,
BBL,2,,35539,Stars,8,175,20,20,Strikers,4,167,20,20,1,1,2,Brad Hodge,0.046,,
BBL,2,,35540,Thunder,10,126,20,20,Heat,5,127,16.4,20,2,1,1,Daniel Christian,0.205,,
BBL,2,,35541,Scorchers,3,187,20,20,Renegades,10,136,19.1,20,1,2,1,Shaun Marsh,0.273,,
BBL,2,,35542,Thunder,6,132,20,20,Sixers,6,136,19,20,2,1,0,Daniel Hughes,0.096,,
BBL,2,,35543,Scorchers,8,152,20,20,Hurricanes,4,153,18.3,20,2,1,2,Tim Paine,0.105,,
BBL,2,,35544,Renegades,6,155,20,20,Strikers,10,107,18.3,20,1,2,1,Muttiah Muralitharan,0.31,,
BBL,2,,35545,Heat,5,171,20,20,Stars,9,147,20,20,1,2,1,James Hopes,0.14,,
BBL,2,,35546,Thunder,9,113,20,20,Scorchers,1,117,13.2,20,2,1,2,Jason Behrendorff,0.427,,
BBL,2,,35547,Strikers,4,162,20,20,Hurricanes,8,124,20,20,1,1,2,Cameron Boyce,0.235,,
BBL,2,,35548,Stars,9,146,20,20,Renegades,1,147,18.5,20,2,1,0,Aaron Finch,0.082,,
BBL,2,,35549,Heat,9,127,20,20,Sixers,5,128,19,20,2,1,1,Michael Lumb,0.07,,
BBL,2,,35550,Stars,8,145,20,20,Thunder,10,132,19.4,20,1,1,1,Chris Gayle,0.09,,
BBL,2,,35551,Renegades,5,178,20,20,Sixers,10,149,20,20,1,1,2,Alex Hales,0.163,,
BBL,2,,35552,Scorchers,4,189,20,20,Strikers,10,91,18.3,20,1,1,2,Shaun Marsh,0.519,,
BBL,2,,35553,Hurricanes,3,150,20,20,Heat,2,152,14.1,20,2,1,1,Luke Pomersbach,0.362,,
BBL,2,SF,35554,Heat,3,183,20,20,Renegades,9,168,20,20,1,1,2,Luke Pomersbach,0.082,,
BBL,2,SF,35555,Stars,2,183,18,18,Scorchers,2,142,13,13,2,2,2,Shaun Marsh,0.028,139,"1st innings shortened by 2 overs at 159/2 (15.1), then 2nd innings shortened to 13 overs at start"
BBL,2,GF,35556,Heat,5,167,20,20,Scorchers,9,133,20,20,1,1,2,Nathan Hauritz,0.204,,
BBL,3,,36533,Stars,7,208,20,20,Renegades,10,132,17.3,20,1,2,0,Luke Wright,0.365,,
BBL,3,,36534,Thunder,6,166,20,20,Sixers,4,167,18.2,20,2,2,0,Nic Maddinson,0.108,,
BBL,3,,36535,Strikers,1,87,6,6,Hurricanes,,,,,,2,2,,,,
BBL,3,,36536,Scorchers,7,151,20,20,Heat,7,152,19.4,20,2,1,2,Chris Lynn,0.026,,
BBL,3,,36537,Scorchers,7,117,20,20,Renegades,8,111,20,20,1,1,1,Yasir Arafat,0.051,,
BBL,3,,36538,Strikers,6,153,20,20,Thunder,6,147,20,20,1,2,2,Michael Hussey,0.039,,
BBL,3,,36539,Heat,3,209,20,20,Hurricanes,7,210,19.2,20,2,1,1,Ben Dunk,0.038,,
BBL,3,,36540,Stars,5,200,20,20,Sixers,9,123,20,20,1,2,2,Glenn Maxwell,0.385,,
BBL,3,,36541,Renegades,3,210,20,20,Heat,10,153,19.2,20,1,1,1,Aaron Finch,0.271,,
BBL,3,,36542,Scorchers,9,159,20,20,Strikers,4,164,19,20,2,1,2,Michael Klinger,0.091,,
BBL,3,,36543,Renegades,8,162,20,20,Hurricanes,10,111,17.1,20,1,1,2,James Pattinson,0.315,,
BBL,3,,36544,Thunder,6,155,20,20,Stars,3,156,19.1,20,2,1,1,Brad Hodge,0.058,,
BBL,3,,36545,Sixers,8,140,20,20,Heat,7,136,20,20,1,2,2,Brett Lee,0.029,,
BBL,3,,36546,Thunder,6,157,20,20,Scorchers,4,161,19.2,20,2,1,2,Simon Katich,0.068,,
BBL,3,,36547,Renegades,5,163,20,20,Stars,1,167,16.2,20,2,1,0,Cameron White,0.24,,
BBL,3,,36548,Strikers,7,149,20,20,Sixers,4,150,19.1,20,2,1,1,Michael Lumb,0.06,,
BBL,3,,36549,Scorchers,7,153,20,20,Hurricanes,7,147,20,20,1,1,1,Nathan Coulter-Nile,0.039,,
BBL,3,,36550,Heat,5,165,20,20,Thunder,10,117,17.2,20,1,1,2,Chris Lynn,0.291,,
BBL,3,,36551,Strikers,9,90,20,20,Stars,2,91,7.3,20,2,1,2,James Faulkner,0.659,,
BBL,3,,36552,Scorchers,5,153,20,20,Sixers,9,153,20,20,1,1,2,Yasir Arafat,0,,
BBL,3,,36553,Hurricanes,5,167,20,20,Thunder,10,94,16.4,20,1,1,1,Ben Dunk,0.437,,
BBL,3,,36554,Heat,7,144,20,20,Stars,7,149,19.4,20,2,1,1,Luke Wright,0.054,,
BBL,3,,36555,Renegades,10,104,18.3,20,Thunder,1,105,11.3,20,2,1,1,Gurinder Sandhu,0.505,,
BBL,3,,36556,Sixers,6,179,20,20,Hurricanes,8,172,20,20,1,1,1,Steven Smith,0.039,,
BBL,3,,36557,Scorchers,7,203,20,20,Strikers,6,198,20,20,1,1,1,Craig Simmons,0.025,,
BBL,3,,36558,Heat,7,129,20,20,Strikers,10,97,18.2,20,1,1,2,Daniel Vettori,0.248,,
BBL,3,,36559,Sixers,6,151,20,20,Renegades,5,149,20,20,1,2,2,Moises Henriques,0.013,,
BBL,3,,36560,Hurricanes,9,131,20,20,Stars,5,135,19.1,20,2,2,2,Luke Wright,0.081,,
BBL,3,,36561,Renegades,6,155,20,20,Strikers,7,154,20,20,1,1,2,Dwayne Bravo,0.006,,
BBL,3,,36562,Hurricanes,7,209,20,20,Heat,8,169,20,20,1,1,1,Ben Dunk,0.191,,
BBL,3,,36563,Thunder,6,128,20,20,Sixers,2,131,19.2,20,2,2,0,Nathan Lyon,0.069,,
BBL,3,,36564,Stars,6,161,20,20,Scorchers,9,141,20,20,1,1,1,John Hastings,0.124,,
BBL,3,SF,36565,Stars,8,141,20,20,Hurricanes,3,142,18.1,20,2,1,1,Cameron Boyce,0.127,,
BBL,3,SF,36566,Scorchers,5,193,20,20,Sixers,6,48,5,5,1,2,2,Craig Simmons,0.094,54,2nd innings shortened to 5 overs at start
BBL,3,GF,36567,Scorchers,4,191,20,20,Hurricanes,7,152,20,20,1,1,1,Brad Hogg,0.204,,
BBL,4,,37605,Stars,7,148,20,20,Strikers,2,149,12.3,20,2,1,2,Tim Ludeman,0.443,,
BBL,4,,37606,Renegades,7,154,20,20,Sixers,2,155,18.5,20,2,2,2,Nic Maddinson,0.084,,
BBL,4,,37607,Hurricanes,5,190,20,20,Stars,9,138,20,20,1,2,2,Darren Sammy,0.274,,
BBL,4,,37608,Thunder,1,208,20,20,Heat,10,152,17.5,20,1,2,1,Jacques Kallis,0.269,,
BBL,4,,37609,Scorchers,7,146,20,20,Strikers,9,147,19.4,20,2,1,1,Jason Behrendorff,0.027,,
BBL,4,,37610,Hurricanes,8,154,19,19,Sixers,3,158,18.1,19,2,1,1,Moises Henriques,0.146,,
BBL,4,,37611,Scorchers,3,192,20,20,Renegades,9,157,20,20,1,1,1,Michael Klinger,0.182,,
BBL,4,,37612,Sixers,7,180,20,20,Thunder,5,164,20,20,1,2,0,Aiden Blizzard,0.089,,
BBL,4,,37613,Heat,8,164,20,20,Stars,7,163,20,20,1,2,1,Ryan Duffield,0.006,,
BBL,4,,37614,Scorchers,7,135,20,20,Sixers,10,99,17.3,20,1,1,2,Andrew Tye,0.267,,
BBL,4,,37615,Thunder,6,114,20,20,Renegades,2,118,13.5,20,2,2,2,James Pattinson,0.398,,
BBL,4,,37616,Hurricanes,8,136,20,20,Strikers,2,141,14.3,20,2,1,2,Tim Ludeman,0.362,,
BBL,4,,37617,Thunder,3,179,20,20,Scorchers,5,159,20,20,1,1,2,Jacques Kallis,0.112,,
BBL,4,,37618,Heat,6,208,20,20,Hurricanes,4,209,19,20,2,2,2,Ben Dunk,0.081,,
BBL,4,,37619,Stars,6,169,20,20,Renegades,10,57,12.4,20,1,2,0,Michael Beer,0.663,,
BBL,4,,37620,Heat,6,152,20,20,Strikers,5,158,18.5,20,2,2,1,Travis Head,0.114,,
BBL,4,,37621,Sixers,6,150,20,20,Stars,4,150,20,20,2,2,2,James Faulkner,0,,
BBL,4,,37622,Scorchers,6,133,20,20,Strikers,10,115,19.3,20,1,2,2,Brad Hogg,0.135,,
BBL,4,,37623,Thunder,7,77,17,17,Hurricanes,5,84,13.4,17,2,2,1,Jake Reed,0.25,82,"1st innings shortened by 3 overs at 59/4 (14.2), then 2nd innings shortened to 17 overs at start"
BBL,4,,37624,Heat,7,134,20,20,Scorchers,2,137,15.5,20,2,1,2,Michael Carberry,0.285,,
BBL,4,,37625,Thunder,4,154,20,20,Sixers,6,155,20,20,2,2,0,Jordan Silk,0.006,,
BBL,4,,37626,Renegades,6,153,20,20,Stars,7,154,20,20,2,1,0,Glenn Maxwell,0.006,,
BBL,4,,37627,Heat,6,147,20,20,Sixers,4,148,17.4,20,2,2,1,Doug Bollinger,0.155,,
BBL,4,,37628,Scorchers,8,141,20,20,Hurricanes,7,123,20,20,1,1,2,Jason Behrendorff,0.128,,
BBL,4,,37629,Strikers,5,119,10,10,Thunder,0,18,1,1,,2,1,,,,
BBL,4,,37630,Heat,10,80,17.3,20,Renegades,5,81,14,20,2,2,2,Shakib Al Hasan,0.333,,
BBL,4,,37631,Strikers,6,182,20,20,Sixers,10,159,19.4,20,1,1,2,Johan Botha,0.126,,
BBL,4,,37632,Renegades,7,163,20,20,Hurricanes,10,126,19.2,20,1,2,2,Ben Stokes,0.227,,
BBL,4,,37633,Thunder,8,106,20,20,Stars,2,107,14.3,20,2,2,1,Kevin Pietersen,0.346,,
BBL,4,,37634,Strikers,5,166,20,20,Renegades,7,144,20,20,1,1,2,Travis Head,0.133,,
BBL,4,,37635,Scorchers,2,179,20,20,Stars,7,182,19.3,20,2,1,2,Peter Handscomb,0.055,,
BBL,4,,37636,Heat,6,198,20,20,Hurricanes,8,180,20,20,1,2,1,Chris Lynn,0.091,,
BBL,4,SF,37637,Sixers,4,181,20,20,Strikers,10,94,14.3,20,1,1,2,Nic Maddinson,0.481,,
BBL,4,SF,37638,Scorchers,7,144,20,20,Stars,10,126,19.5,20,1,1,1,Andrew Tye,0.125,,
BBL,4,GF,37639,Sixers,5,147,20,20,Scorchers,6,148,20,20,2,1,0,Shaun Marsh,0.007,,
BBL,5,,38959,Thunder,4,158,20,20,Sixers,10,122,19.5,20,1,1,0,Michael Hussey,0.228,,
BBL,5,,38960,Strikers,5,187,20,20,Stars,7,168,20,20,1,2,1,Alex Ross,0.102,,
BBL,5,,38961,Heat,5,180,20,20,Renegades,3,184,19.3,20,2,1,1,Aaron Finch,0.065,,
BBL,5,,38962,Sixers,7,186,20,20,Hurricanes,10,91,15.5,20,1,1,1,Brad Haddin,0.511,,
BBL,5,,38963,Thunder,6,178,20,20,Stars,5,177,20,20,1,2,2,Usman Khawaja,0.006,,
BBL,5,,38964,Scorchers,6,151,20,20,Strikers,6,152,19.1,20,2,1,1,Adil Rashid,0.059,,
BBL,5,,38965,Hurricanes,3,184,20,20,Heat,8,164,20,20,1,1,1,Tim Paine,0.109,,
BBL,5,,38966,Renegades,4,172,20,20,Sixers,7,174,18.5,20,2,2,1,Michael Lumb,0.092,,
BBL,5,,38967,Heat,7,117,20,20,Scorchers,1,118,15.1,20,2,1,2,David Willey,0.314,,
BBL,5,,38968,Sixers,6,139,20,20,Stars,5,143,18.4,20,2,1,1,Glenn Maxwell,0.112,,
BBL,5,,38969,Strikers,9,117,20,20,Thunder,3,121,16.3,20,2,1,2,Andre Russell,0.248,,
BBL,5,,38970,Hurricanes,4,194,20,20,Heat,9,179,20,20,1,1,2,Chris Lynn,0.077,,
BBL,5,,38971,Renegades,4,170,20,20,Scorchers,0,171,18.4,20,2,2,1,Michael Klinger,0.105,,
BBL,5,,38972,Sixers,5,176,20,20,Strikers,5,182,19.3,20,2,2,2,Travis Head,0.071,,
BBL,5,,38973,Hurricanes,6,163,20,20,Thunder,9,152,20,20,1,2,1,Shaun Tait,0.067,,
BBL,5,,38974,Renegades,7,161,20,20,Stars,3,163,19.1,20,2,2,0,Luke Wright,0.074,,
BBL,5,,38975,Sixers,8,112,20,20,Scorchers,1,114,14.3,20,2,1,2,David Willey,0.36,,
BBL,5,,38976,Thunder,5,186,20,20,Heat,4,189,19.3,20,2,2,2,Chris Lynn,0.058,,
BBL,5,,38977,Hurricanes,5,140,20,20,Renegades,5,144,14,20,2,2,1,Chris Tremain,0.34,,
BBL,5,,38978,Strikers,2,174,20,20,Scorchers,10,138,17.3,20,1,1,1,Travis Head,0.207,,
BBL,5,,38979,Hurricanes,10,124,20,20,Stars,2,126,15,20,2,2,2,Glenn Maxwell,0.325,,
BBL,5,,38980,Scorchers,5,175,20,20,Thunder,9,145,20,20,1,2,2,Cameron Bancroft,0.171,,
BBL,5,,38981,Heat,6,175,20,20,Strikers,2,179,18.4,20,2,2,1,Mahela Jayawardene,0.123,,
BBL,5,,38982,Renegades,6,155,20,20,Stars,2,156,18,20,2,2,0,Marcus Stoinis,0.141,,
BBL,5,,38983,Scorchers,5,173,20,20,Hurricanes,6,172,20,20,1,1,2,Michael Carberry,0.006,,
BBL,5,,38984,Heat,8,162,20,20,Sixers,8,156,20,20,1,1,2,Joe Burns,0.037,,
BBL,5,,38985,Thunder,5,173,20,20,Renegades,5,176,19.2,20,2,1,1,Cameron White,0.068,,
BBL,5,,38986,Hurricanes,10,143,19.3,20,Strikers,4,146,20,20,2,1,2,Adil Rashid,0.021,,
BBL,5,,38987,Heat,7,188,20,20,Stars,9,132,20,20,1,2,2,Samuel Badree,0.298,,
BBL,5,,38988,Stars,9,146,20,20,Scorchers,10,94,19,20,1,2,2,Ben Hilfenhaus,0.356,,
BBL,5,,38989,Thunder,5,202,20,20,Sixers,10,156,17.3,20,1,2,0,Shane Watson,0.228,,
BBL,5,,38990,Strikers,5,170,20,20,Renegades,10,143,15.3,20,1,2,2,Travis Head,0.159,,
BBL,5,SF,38991,Strikers,7,159,20,20,Thunder,2,160,17.4,20,2,1,1,Usman Khawaja,0.169,,
BBL,5,SF,38992,Scorchers,7,139,20,20,Stars,3,140,18.1,20,2,2,2,Kevin Pietersen,0.129,,
BBL,5,GF,38993,Stars,9,176,20,20,Thunder,7,181,19.3,20,2,2,1,Usman Khawaja,0.066,,
BBL,6,,40434,Thunder,8,159,20,20,Sixers,1,160,18,20,2,2,0,Moises Henriques,0.144,,
BBL,6,,40435,Heat,5,206,20,20,Strikers,6,196,20,20,1,2,2,Brendon McCullum,0.049,,
BBL,6,,40436,Renegades,7,179,20,20,Thunder,10,130,19.1,20,1,2,1,Aaron Finch,0.274,,
BBL,6,,40437,Hurricanes,6,200,20,20,Sixers,10,140,16.2,20,1,2,2,D'Arcy Short,0.3,,
BBL,6,,40438,Scorchers,7,197,20,20,Strikers,9,149,20,20,1,2,1,Ashton Turner,0.244,,
BBL,6,,40439,Hurricanes,4,188,20,20,Stars,3,191,17.4,20,2,1,1,Rob Quiney,0.178,,
BBL,6,,40440,Scorchers,8,130,20,20,Sixers,4,132,18,20,2,1,2,Johan Botha,0.144,,
BBL,6,,40441,Thunder,7,157,20,20,Heat,7,160,19.4,20,2,2,1,Chris Lynn,0.044,,
BBL,6,,40442,Renegades,8,148,20,20,Scorchers,6,152,20,20,2,2,1,Michael Klinger,0.026,,
BBL,6,,40443,Hurricanes,9,173,20,20,Heat,3,174,16.2,20,2,2,2,Chris Lynn,0.247,,
BBL,6,,40444,Strikers,9,152,20,20,Sixers,10,104,18.2,20,1,2,1,Sean Abbott,0.316,,
BBL,6,,40445,Renegades,4,171,20,20,Stars,9,151,18,18,1,2,0,Brad Hogg,0.044,159,2nd innings shortened by 2 overs at 50/2 (6)
BBL,6,,40446,Scorchers,4,177,20,20,Thunder,8,127,20,20,1,2,1,Mitchell Marsh,0.282,,
BBL,6,,40447,Strikers,10,143,20,20,Hurricanes,2,144,17.4,20,2,2,2,Daniel Christian,0.16,,
BBL,6,,40448,Heat,6,186,20,20,Sixers,7,191,19.4,20,2,2,1,Daniel Hughes,0.058,,
BBL,6,,40449,Stars,8,166,20,20,Thunder,4,168,20,20,2,2,2,Eoin Morgan,0.012,,
BBL,6,,40450,Scorchers,6,173,20,20,Heat,1,174,14.4,20,2,1,1,Chris Lynn,0.351,,
BBL,6,,40451,Hurricanes,8,161,20,20,Strikers,5,164,18.2,20,2,2,2,Ben Dunk,0.128,,
BBL,6,,40452,Stars,7,200,20,20,Renegades,9,154,20,20,1,2,0,Adam Zampa,0.23,,
BBL,6,,40453,Hurricanes,8,161,20,20,Thunder,4,162,16.5,20,2,2,1,Shane Watson,0.21,,
BBL,6,,40454,Renegades,6,170,20,20,Sixers,4,171,19.3,20,2,1,1,Brad Haddin,0.047,,
BBL,6,,40455,Strikers,8,152,20,20,Stars,8,153,19.3,20,2,2,2,Ben Hilfenhaus,0.033,,
BBL,6,,40456,Scorchers,5,156,20,20,Heat,10,129,19.2,20,1,2,2,Michael Klinger,0.173,,
BBL,6,,40457,Renegades,4,222,20,20,Hurricanes,8,223,20,20,2,2,1,Ben McDermott,0.004,,
BBL,6,,40458,Sixers,9,99,20,20,Thunder,2,100,10,20,2,1,0,Fawad Ahmed,0.56,,
BBL,6,,40459,Scorchers,7,134,20,20,Stars,3,137,17.2,20,2,1,1,Michael Beer,0.19,,
BBL,6,,40460,Renegades,9,171,20,20,Strikers,8,165,20,20,1,2,2,Marcus Harris,0.035,,
BBL,6,,40461,Stars,7,138,20,20,Heat,3,139,18.1,20,2,1,1,Mitchell Swepson,0.122,,
BBL,6,,40462,Strikers,5,178,20,20,Thunder,10,101,15.3,20,1,2,2,Ish Sodhi,0.433,,
BBL,6,,40463,Renegades,5,199,20,20,Heat,10,198,19.5,20,1,2,2,Aaron Finch,0.005,,
BBL,6,,40464,Hurricanes,6,134,20,20,Scorchers,3,135,13.5,20,2,2,1,Shaun Marsh,0.363,,
BBL,6,,40465,Stars,8,156,20,20,Sixers,7,160,19,20,2,2,1,Sean Abbott,0.088,,
BBL,6,SF,40466,Stars,8,136,20,20,Scorchers,3,139,16.5,20,2,2,2,Mitchell Johnson,0.216,,
BBL,6,SF,40467,Heat,9,167,20,20,Sixers,8,167,20,20,2,2,1,Moises Henriques,0,,
BBL,6,GF,40468,Sixers,9,141,20,20,Scorchers,1,144,15.5,20,2,2,2,Jhye Richardson,0.278,,
BBL,7,,41988,Sixers,9,149,20,20,Thunder,5,150,20,20,2,2,0,Shane Watson,0.007,,
BBL,7,,41989,Heat,7,206,20,20,Stars,6,191,20,20,1,2,1,Marcus Stoinis,0.073,,
BBL,7,,41990,Hurricanes,8,164,20,20,Renegades,3,165,18.3,20,2,2,1,Dwayne Bravo,0.109,,
BBL,7,,41991,Strikers,6,163,20,20,Thunder,10,110,17.4,20,1,1,1,Rashid Khan,0.325,,
BBL,7,,41992,Sixers,10,132,18.4,20,Scorchers,4,136,18.1,20,2,2,1,Ashton Turner,0.14,,
BBL,7,,41993,Heat,8,132,20,20,Renegades,3,137,18.4,20,2,2,2,Jack Wildermuth,0.124,,
